directed,source,target,type,year
True,author:jose_c_de_oliveira:11cd13bf,theme:asymmetrical_two_phase_induction_motor_model:2a614520,Has_Expertise_In,2002
True,author:jose_c_de_oliveira:11cd13bf,theme:massive_use_and_degraded_supply_make_air_conditioner_study_important:854f5867,Has_Expertise_In,2002
True,author:antonio_carlos_delaiba:bc2aad1b,theme:residential_air_conditioner_sensitivity_to_supply_power_quality:ca792f4a,Has_Expertise_In,2002
True,author:antonio_carlos_delaiba:bc2aad1b,theme:asymmetrical_two_phase_induction_motor_model:2a614520,Has_Expertise_In,2002
True,author:antonio_carlos_delaiba:bc2aad1b,theme:massive_use_and_degraded_supply_make_air_conditioner_study_important:854f5867,Has_Expertise_In,2002
True,article:2002_877,keyword:power_quality:82d19f76,Contains,2002
True,article:2002_877,keyword:sensivity:b0ff9b8e,Contains,2002
True,article:2002_877,keyword:air_conditionair:684591ec,Contains,2002
True,article:2002_877,keyword:unsymmetrical_2_phase_induction_machines:a8cbe571,Contains,2002
True,article:2002_877,keyword:templates:7981a4e7,Contains,2002
True,article:2004_1323,year:2004,Was_Published_In,2004
True,author:adgenor_l_neto:ff175aad,article:2004_1323,Was_Author_of,2004
True,author:eduardo_j_lima_ii:5af9e69c,article:2004_1323,Was_Author_of,2004
True,author:renato_v_b_henriques:807204c4,article:2004_1323,Was_Author_of,2004
True,author:alexandre_q_bracarense:4b260d0d,article:2004_1323,Was_Author_of,2004
True,author:adgenor_l_neto:ff175aad,affiliation:universidade_federal_de_minas_gerais:24fe50f7,Is_Linked_to,2004
True,author:adgenor_l_neto:ff175aad,affiliation:escola_de_engenharia_departamento_de_engenharia_mecanica:5a9adb5f,Is_Linked_to,2004
True,author:adgenor_l_neto:ff175aad,affiliation:universidade_federal_do_rio_grande_do_sul:70c0e67b,Is_Linked_to,2004
True,author:adgenor_l_neto:ff175aad,affiliation:escola_de_engenharia_departamento_de_endenharia_el_etrica:a5b61a8f,Is_Linked_to,2004
True,author:adgenor_l_neto:ff175aad,affiliation:universidade_federal_de_minas_gerais:304dd372,Is_Linked_to,2004
True,author:eduardo_j_lima_ii:5af9e69c,affiliation:universidade_federal_de_minas_gerais:24fe50f7,Is_Linked_to,2004
True,author:eduardo_j_lima_ii:5af9e69c,affiliation:escola_de_engenharia_departamento_de_engenharia_mecanica:5a9adb5f,Is_Linked_to,2004
True,author:eduardo_j_lima_ii:5af9e69c,affiliation:universidade_federal_do_rio_grande_do_sul:70c0e67b,Is_Linked_to,2004
True,author:eduardo_j_lima_ii:5af9e69c,affiliation:escola_de_engenharia_departamento_de_endenharia_el_etrica:a5b61a8f,Is_Linked_to,2004
True,author:eduardo_j_lima_ii:5af9e69c,affiliation:universidade_federal_de_minas_gerais:304dd372,Is_Linked_to,2004
True,author:renato_v_b_henriques:807204c4,affiliation:universidade_federal_de_minas_gerais:24fe50f7,Is_Linked_to,2004
True,author:renato_v_b_henriques:807204c4,affiliation:escola_de_engenharia_departamento_de_engenharia_mecanica:5a9adb5f,Is_Linked_to,2004
True,author:renato_v_b_henriques:807204c4,affiliation:universidade_federal_do_rio_grande_do_sul:70c0e67b,Is_Linked_to,2004
True,author:renato_v_b_henriques:807204c4,affiliation:escola_de_engenharia_departamento_de_endenharia_el_etrica:a5b61a8f,Is_Linked_to,2004
True,author:renato_v_b_henriques:807204c4,affiliation:universidade_federal_de_minas_gerais:304dd372,Is_Linked_to,2004
True,author:alexandre_q_bracarense:4b260d0d,affiliation:universidade_federal_de_minas_gerais:24fe50f7,Is_Linked_to,2004
True,author:alexandre_q_bracarense:4b260d0d,affiliation:escola_de_engenharia_departamento_de_engenharia_mecanica:5a9adb5f,Is_Linked_to,2004
True,author:alexandre_q_bracarense:4b260d0d,affiliation:universidade_federal_do_rio_grande_do_sul:70c0e67b,Is_Linked_to,2004
True,author:alexandre_q_bracarense:4b260d0d,affiliation:escola_de_engenharia_departamento_de_endenharia_el_etrica:a5b61a8f,Is_Linked_to,2004
True,author:alexandre_q_bracarense:4b260d0d,affiliation:universidade_federal_de_minas_gerais:304dd372,Is_Linked_to,2004
False,author:adgenor_l_neto:ff175aad,author:eduardo_j_lima_ii:5af9e69c,Collaborates,2004
False,author:adgenor_l_neto:ff175aad,author:renato_v_b_henriques:807204c4,Collaborates,2004
False,author:adgenor_l_neto:ff175aad,author:alexandre_q_bracarense:4b260d0d,Collaborates,2004
False,author:eduardo_j_lima_ii:5af9e69c,author:renato_v_b_henriques:807204c4,Collaborates,2004
